Beam energy dependence of higher moments of net-charge multiplity 
distributions in Au+Au collisions at RHIC

Fig.1                                                                                                                 
(Efficiency corrected Mean, Std. Deviation, skewness and kurtosis for different 
centralities for different energies) 


Mean                                                                                    

AuAu 200 GeV

Npart    Mean    Stat.Err    Sys.Err
116.73    10.2655    0.00417241    0.00495437
169.02    12.5682    0.00509412    0.00605448
237.26    15.1741    0.00606512    0.00719651
302.22    17.3623    0.00949676    0.0113713
349.67    18.9948    0.0102972    0.0122962
            
AuAu 62.4 GeV

Npart    Std. Dev.    Stat.Err    Sys.Err
13.78    2.98568    0.00239095    0.00254841
26.56    4.14354    0.0027808    0.00311642
46.26    5.5291    0.00351993    0.00390039
75.08    7.15107    0.00431613    0.00499094
113.49    8.99399    0.00547465    0.00630678
164.59    11.0176    0.00681973    0.00789036
232.08    13.2665    0.00822709    0.00962128
296.71    15.1778    0.0136054    0.0156845
344.4    16.6412    0.0150507    0.0178018
            
AuAu 39 GeV

Npart    Std. Dev.    Stat.Err    Sys.Err
14.07    2.8395    0.00137182    0.00125541
26.23    3.93623    0.00175408    0.00162221
45.25    5.3069    0.00243187    0.00226681
72.86    6.84802    0.0029422    0.00281787
110.54    8.65075    0.00391927    0.0037335
160.87    10.5299    0.0048866    0.00453813
227.72    12.6462    0.00591584    0.00556826
291.95    14.4439    0.0095065    0.00917334
341.76    15.868    0.0103607    0.0100517
            
AuAu 27 GeV


Npart    Std. Dev.    Stat.Err    Sys.Err
13.43    2.72691    0.00192931    0.00226261
26.06    3.82597    0.00260538    0.00307623
45.43    5.1232    0.00361866    0.00418952
72.93    6.57913    0.00447508    0.00517741
110.87    8.26951    0.0058225    0.00658699
161.17    10.098    0.00693759    0.0081459
227.42    12.197    0.00881098    0.0102878
291.78    13.8676    0.0146718    0.0166722
340.96    15.1796    0.0164179    0.0188746
            
AuAu 19.6 GeV

Npart    Std. Dev.    Stat.Err    Sys.Err
17.96    2.60423    0.00240349    0.00266086
31.43    3.6303    0.00338065    0.0038003
51.21    4.87691    0.00424394    0.00472851
79.93    6.32017    0.00542361    0.00624855
117.86    7.89031    0.00700671    0.00793274
167.02    9.64926    0.00856433    0.00980032
232.41    11.6159    0.0106896    0.0122302
293.93    13.2607    0.0178651    0.0203836
340.67    14.4913    0.019691    0.0229194
            
AuAu 11.5 GeV

Npart    Std. Dev.    Stat.Err    Sys.Err
14.044    2.33593    0.00582226    0.00635028
25.59    3.27844    0.00748198    0.00809548
44.32    4.4702    0.00988006    0.0109663
71.92    5.76577    0.0129332    0.0142177
109.3    7.22454    0.0164843    0.0180257
158.38    8.84749    0.0203532    0.0224544
224.29    10.6195    0.0231256    0.0274247
288.74    12.1602    0.0408671    0.0467728
338.42    13.1886    0.0424701    0.0498225
            
AuAu 7.7 GeV

Npart    Std. Dev.    Stat.Err    Sys.Err
13.85    2.08047    0.00689279    0.00723334
25.62    2.97139    0.00828457    0.00938856
44.56    4.06156    0.0111219    0.0129365
71.36    5.29007    0.0150094    0.0164998
109.02    6.65924    0.0181955    0.0207116
160.94    8.25381    0.0232868    0.0262888
226.64    9.86723    0.028332    0.0326992
290.41    11.2862    0.0463162    0.0533167
337.36    12.1985    0.0516667    0.0590223



Skewness                                                                                        

            
AuAu 200 GeV

Npart    Skewness    Stat.Err    Sys.Err
14.96    0.0117704    0.00232545    0.00252033
27.43    0.00895473    0.00204981    0.00213195
47.21    0.00363952    0.00187045    0.00189675
76.93    0.00547063    0.00182538    0.00198291
116.73    0.00808835    0.00185591    0.0020244
169.02    0.00263314    0.00188587    0.00204277
237.26    0.00152252    0.00184095    0.00202702
302.22    -0.00085057    0.00255112    0.0027881
349.67    -0.000935413    0.00604319    0.00275542
            
AuAu 62.4 GeV

Npart    Skewness    Stat.Err    Sys.Err
13.78    0.0239164    0.00403435    0.00392184
26.56    0.0220181    0.00305804    0.00324365
46.26    0.0179787    0.00281866    0.00289831
75.08    0.0150333    0.0028135    0.00285484
113.49    0.00836861    0.00280322    0.00289943
164.59    0.00998018    0.00283944    0.00297428
232.08    0.0114634    0.00291778    0.00305826
296.71    0.00827025    0.00423547    0.00440691
344.4    0.00887991    0.04269    0.0045859
            
AuAu 39 GeV

Npart    Skewness    Stat.Err    Sys.Err
14.07    0.0369655    0.0024235    0.00206575
26.23    0.0308218    0.00215269    0.00177972
45.25    0.0253437    0.00209883    0.00179784
72.86    0.0213252    0.00203484    0.00169068
110.54    0.0178194    0.00209765    0.00180935
160.87    0.0118557    0.0020864    0.00179555
227.72    0.0123597    0.00215771    0.00185405
291.95    0.012062    0.0031412    0.00271704
341.76    0.000912979    0.00379367    0.00273036
            
AuAu 27 GeV

Npart    Skewness    Stat.Err    Sys.Err
13.43    0.045785    0.0035813    0.00398804
26.06    0.0449239    0.00338148    0.0035316
45.43    0.028506    0.00332236    0.00344647
