Beam energy dependence of higher moments of net-charge multiplity 
distributions in Au+Au collisions at RHIC

Fig.1                                                                                                                 
(Efficiency corrected Mean, Std. Deviation, skewness and kurtosis for different 
centralities for different energies) 


Mean                                                                                    

AuAu 200 GeV

Npart    Mean    Stat.Err    Sys.Err
291.95    1.99709    1.81082    0.967493
341.76    1.59113    2.22224    0.62209
                                        
Au+Au 27 GeV

Npart    KV    Stat.Err    Sys.Err
13.43    2.70718    0.0839845    0.124916
26.06    2.54268    0.140326    0.11499
45.43    2.28374    0.235733    0.0871941
72.93    2.67283    0.363347    0.0882695
110.87    2.14873    0.583981    0.268876
161.17    1.55869    0.863726    0.18286
227.42    4.09114    1.36247    0.446654
291.78    1.87268    2.5102    0.356377
340.96    2.96161    3.09955    1.51754
                                        
Au+Au 19.6 GeV

Npart    KV    Stat.Err    Sys.Err
17.96    2.43159    0.0922055    0.0991678
31.43    2.60069    0.162177    0.0869128
51.21    2.37572    0.251018    0.165813
79.93    2.24677    0.402653    0.203675
117.86    2.64503    0.64446    0.309385
167.02    2.58725    0.991498    0.423059
232.41    2.42204    1.49104    0.405893
293.93    0.742247    2.87479    0.611396
340.67    1.30334    3.54197    0.785453
                                        
Au+Au 11.5 GeV

Npart    KV    Stat.Err    Sys.Err
14.044    2.7137    0.193646    0.337091
25.59    2.72126    0.339452    0.270079
44.32    2.14505    0.507167    0.149596
71.92    3.07983    0.921142    0.617521
109.3    2.73923    1.49845    0.591874
158.38    2.01349    2.25211    0.887721
224.29    5.2225    3.08891    1.35433
288.74    1.04068    6.15717    0.931814
338.42    1.90761    7.09204    1.30255
                                        
Au+Au 7.7 GeV

Npart    KV    Stat.Err    Sys.Err
13.85    3.00154    0.263386    0.147408
25.62    2.93584    0.374097    0.131362
44.56    4.30374    0.589326    0.176447
71.36    3.71442    0.93942    0.148131
109.02    1.59542    1.33798    0.131983
160.94    2.19629    2.21191    0.389699
226.64    -4.87174    3.25574    1.13341
290.41    7.15021    6.12123    2.87382
337.36    -10.6236    7.47779    5.2201


Baseline values Kurtosis*Variance                                                                
__________________________________________________________________________


Au+Au 200 GeV

Npart    NBD    Poisson
14.96    4.90635    1
27.43    5.11381    1
47.21    4.95559    1
76.93    4.90415    1
116.73    4.65448    1
169.02    4.39161    1
237.26    3.99152    1
302.22    3.07353    1
349.67    2.02919    1


Au+Au 62.4 GeV

Npart    NBD    Poisson
13.78    5.06482    1
26.56    5.26192    1
46.26    5.19326    1
75.08    5.14569    1
113.49    5.02202    1
164.59    4.77032    1
232.08    4.48573    1
296.71    4.22163    1
344.4    3.04649    1

Au+Au 39 GeV

Npart    NBD    Poisson
14.07    5.04093    1
26.23    5.08783    1
45.25    5.00971    1
72.86    4.76139    1
110.54    4.55137    1
160.87    4.0872    1
227.72    3.61098    1
291.95    3.2089    1
341.76    2.35608    1


Au+Au 27 GeV

Npart    NBD    Poisson
13.43    5.00913    1
26.06    5.0483    1
45.43    5.00631    1
72.93    4.74457    1
110.87    4.49799    1
161.17    4.05968    1
227.42    3.54321    1
291.78    2.96725    1
340.96    1.90713    1

Au+Au 19.6 GeV

Npart    NBD    Poisson
17.96    4.6705    1
31.43    4.93169    1
51.21    4.94258    1
79.93    4.77481    1
117.86    4.63587    1
167.02    4.38339    1
232.41    3.95304    1
293.93    3.54312    1
340.67    2.37491    1

Au+Au 11.5 GeV

Npart    NBD    Poisson
14.044    4.79646    1
25.59    5.02126    1
44.32    5.21903    1
71.92    5.09899    1
109.3    5.03997    1
158.38    4.86607    1
224.29    4.30692    1
288.74    4.06826    1
338.42    2.51506    1

Au+Au 7.7 GeV

Npart    NBD    Poisson
13.85    5.63941    1
25.62    5.21137    1
44.56    5.59791    1
71.36    5.62232    1
109.02    5.65432    1
160.94    5.59709    1
226.64    5.201    1
290.41    4.87618    1
337.36    3.02669    1


Fig.4                                                                                                                 
(Beam energy dependance of Variance/Mean, Skwness*Std. Deviation and Kurtosis*Variance) 


Variance/Mean (Sigma^2/M)                                               

 0-5% Centrality             

ENG     sigma^2/M    Stat.Error   Sys.Error    NBD    Skellam
(GeV)

7.7    3.72455    0.0319487    0.0159744    6.72266    5.4224
11.5    5.55127    0.0366492    0.0183246    9.84451    8.25644
19.6    8.95204    0.0255873    0.0127937    15.7966    13.3401
27    12.7145    0.0299337    0.0149669    21.1496    18.7789
39    17.4625    0.0263059    0.013153            30.1741    25.4531
62.4    27.3241    0.0651797    0.0325899    49.3896    39.0525
200    80.2318    0.210213             0.105106    124.898    108.848
               
               
  70-80%  Centrality  
      
ENG    sigma^2/M     Stat.Error   Sys.Error    NBD    Skellam
(GeV)

7.7                    7.47332    0.102868    0.051434    14.6179    9.20048
11.5                  11.8146    0.174244    0.0871218    22.8091    15.4699
19.6                  17.9191    0.124656    0.062328    35.0745    21.3709
27                     26.9981    0.217466    0.108733    54.9325    37.9424
39                     32.6472    0.204098    0.102049    66.1672    44.6294
62.4                  47.2453    0.62329    0.311645    94.9524    64.815
200                   99.0916    1.56255    0.781274    201.971    139.686

  

Skewness*Std. Deviation (S*sigma)                                                          

 0-5%  Centrality             

ENG    S*sigma     Stat.Error   Sys.Error    NBD    Skellam
(GeV)

7.7    0.443332      0.237605      0.215502      0.476933      0.184454
11.5    0.503508      0.208217      0.174109      0.290953      0.121136
19.6    0.283159      0.09437      0.0777163      0.168042      0.0749629
27    0.107052      0.0750091      0.0562664      0.111871      0.053256
39    0.0133622      0.0501263      0.033736      0.0768153      0.0392905
62.4    0.145121      0.067052      0.0899881      0.069852      0.0255998
200    -0.0188162      0.0477387      0.0409418      0.0138754      0.00919266
               
  70-80%  Centrality     
           
ENG    S*sigma      Stat.Error   Sys.Error    NBD    Skellam
(GeV)

7.7    0.472407      0.0347691    0.0137378      0.425598     0.109716
11.5    0.321615      0.0291255    0.0610068      0.299105     0.0648058
19.6    0.204636      0.0113238    0.00967549      0.189537     0.0468747
27    0.124164      0.00965298    0.00534643      0.136668     0.0265044
39    0.103698      0.00674335    0.0388556      0.103799     0.0224682
62.4    0.0711058      0.0118494    0.0197959      0.0674433     0.0154511
200    0.0392179      0.00761239    0.021385      0.0307338     0.00717921


 Kurtosis*Variance (KV)                                                          

 0-5%     Centrality   
      
ENG    KV     Stat.Error   Sys.Error    NBD    Skellam
(GeV)

7.7                -10.6236    7.47779    5.2201    3.02669    1
11.5                1.90761    7.09204    1.30255    2.51506    1
19.6                1.30334    3.54197    0.785453    2.37491    1
27                   2.96161    3.09955    1.51754    1.90713    1
39                   1.59113    2.22224    0.62209    2.35608    1
62.4                4.57877    3.34581    2.46885    3.04649    1
200                 2.57939    2.42202    1.84051    2.02919    1
               
 70-80%  Centrality             

ENG    KV     Stat.Error   Sys.Error    NBD    Skellam
(GeV)

7.7    3.00154    0.263386    0.147408    5.63941    1
11.5    2.7137    0.193646    0.337091    4.79646    1
19.6    2.43159    0.0922055    0.0991678    4.6705    1
27    2.70718    0.0839845    0.124916    5.00913    1
39    2.64718    0.0537805    0.142572    5.04093    1
62.4    2.71035    0.0964119    0.316314    5.06482    1
200    2.33482    0.0692845    0.244065    4.90635    1

