Centrality	Npart	C1	Stat. Err.	Sys. Err.	C2	Stat. Err.	Sys. Err.	C3	Stat. Err.	Sys. Err.	C4	Stat. Err.	Sys. Err.
0 5 	343	5.88484	0.0021042	0.0305129	8.12486	0.00868301	0.0421275	5.25843	0.0464045	0.107196	6.38034	0.307197	0.462699
5 10 	299	5.04051	0.00195502	0.0270956	7.04552	0.00757344	0.0378737	4.60786	0.038391	0.0652108	6.50347	0.241157	0.191752
10 20 	234	3.96687	0.00121891	0.0218229	5.6553	0.00425246	0.0311114	3.63697	0.0196028	0.0382296	5.00338	0.113064	0.0704994
20 30 	165	2.78946	0.00102185	0.0135767	4.08825	0.00306564	0.0198981	2.50161	0.012283	0.0365994	3.46122	0.0619001	0.0663345
30 40 	114	1.86965	0.000850493	0.00916309	2.83943	0.00217147	0.013916	1.68433	0.00761046	0.0228118	2.44598	0.0340116	0.0312994
40 50 	75	1.17922	0.00069664	0.00534781	1.86527	0.00148675	0.00845904	1.05305	0.00443838	0.0185165	1.57409	0.0168223	0.0404872
50 60 	47	0.688059	0.000545252	0.0032103	1.14328	0.000962325	0.00533426	0.616792	0.00244408	0.00875031	0.968657	0.00801587	0.0196093
60 70 	27	0.357005	0.000401754	0.00146879	0.62876	0.000579547	0.00258684	0.317432	0.00121741	0.00406731	0.530087	0.00330731	0.00825297
70 80 	14	0.165864	0.000296858	0.0005548	0.31054	0.000361151	0.00103877	0.150158	0.00062358	0.00135618	0.272079	0.00146343	0.00231546
