Energy  C3/C2       stat. err.  sys. err.   C4/C2       stat. err.  sys. err.
7.7     0.713421    0.076207    0.040453    3.444929    1.214975    1.194795
11.5    0.775636    0.041560    0.031272    0.697824    0.592921    0.359370
14.5    0.778566    0.028640    0.011149    1.462821    0.395072    0.253026
19.6    0.634792    0.024295    0.016994    0.203595    0.312348    0.225951
27.0    0.551766    0.017665    0.014678    0.196269    0.218407    0.143169
39.0    0.441771    0.011375    0.015134    0.724730    0.146528    0.133008
62.4    0.317836    0.017187    0.015088    1.232111    0.234844    0.198430
200.0   0.122302    0.012597    0.010899    0.900669    0.208458    0.139363
