Centrality	Npart	C1	Stat. Err.	Sys. Err.	C2	Stat. Err.	Sys. Err.	C3	Stat. Err.	Sys. Err.	C4	Stat. Err.	Sys. Err.
0 5 	342	4.10344	0.00111869	0.042045	7.26267	0.00439549	0.0744153	3.81888	0.0222851	0.0723196	6.66449	0.138618	0.208938
5 10 	294	3.54662	0.00104111	0.0353781	6.37328	0.00384729	0.0635746	3.33925	0.0183702	0.0243671	5.82792	0.107299	0.126262
10 20 	230	2.81866	0.000656078	0.0255681	5.19489	0.00219923	0.047123	2.57106	0.00959588	0.0452572	4.49708	0.0515589	0.124522
20 30 	162	2.00642	0.000559868	0.0169376	3.83977	0.00163612	0.0324141	1.82552	0.00631235	0.0261961	3.3753	0.0303013	0.0623811
30 40 	111	1.35939	0.000476434	0.0100947	2.71801	0.00119385	0.0201837	1.22728	0.00401439	0.0178375	2.33983	0.0169871	0.0464212
40 50 	74	0.866633	0.000394851	0.00563585	1.81896	0.000835909	0.011829	0.77722	0.00241582	0.010568	1.56778	0.00885793	0.0281703
50 60 	46	0.509887	0.000323206	0.00296647	1.13249	0.000569648	0.00658872	0.455341	0.00139601	0.00670029	0.972405	0.0043968	0.0180776
60 70 	26	0.27511	0.000262621	0.00125413	0.647778	0.000384033	0.00295299	0.245553	0.000788988	0.00376068	0.556777	0.00214078	0.0111001
70 80 	14	0.1363	0.000228627	0.000603	0.341446	0.000284264	0.00151056	0.123607	0.000483102	0.00104654	0.299732	0.00111964	0.00391301
