Centrality	Npart	C1	Stat. Err.	Sys. Err.	C2	Stat. Err.	Sys. Err.	C3	Stat. Err.	Sys. Err.	C4	Stat. Err.	Sys. Err.
0 5 	338	7.68046	0.00309127	0.0603875	9.06206	0.0134127	0.0712503	6.74096	0.0751125	0.258837	6.44828	0.512116	0.591016
5 10 	289	6.5563	0.00287296	0.0498049	7.80607	0.0116477	0.0592987	5.8948	0.0619523	0.221545	6.51299	0.412716	0.43264
10 20 	225	5.13769	0.00177503	0.0254465	6.18544	0.00644025	0.0306359	4.63704	0.0309048	0.121813	5.08169	0.184546	0.0975833
20 30 	158	3.60491	0.00147749	0.0141923	4.42243	0.00458624	0.0174108	3.20488	0.0193177	0.0989372	3.61225	0.10353	0.13526
30 40 	108	2.41478	0.00123104	0.00821426	3.03156	0.00322512	0.0103124	2.14354	0.0117461	0.0561469	2.49745	0.0544915	0.0643339
40 50 	71	1.52328	0.00099346	0.00438137	1.97506	0.00216888	0.0056808	1.35704	0.00682025	0.0331504	1.65483	0.0273148	0.0539117
50 60 	44	0.88459	0.000772532	0.00202866	1.18885	0.00138096	0.00272642	0.78909	0.00370182	0.0175224	0.996622	0.0126428	0.0369068
60 70 	25	0.457545	0.000567126	0.0010883	0.642622	0.0008193	0.0015285	0.406262	0.00179915	0.00673956	0.528003	0.00503257	0.0155724
70 80 	14	0.21596	0.000433444	0.0005424	0.320098	0.000528	0.0008039	0.195145	0.000958435	0.00262608	0.275728	0.00230678	0.00614281
