Centrality	Npart	C1	Stat. Err.	Sys. Err.	C2	Stat. Err.	Sys. Err.	C3	Stat. Err.	Sys. Err.	C4	Stat. Err.	Sys. Err.
0 5 	338	10.768	0.00510866	0.0775023	11.0774	0.0244578	0.0797294	9.66142	0.15228	0.187181	8.64268	1.18985	0.933563
5 10 	291	9.15573	0.00478444	0.0601511	9.45849	0.0212551	0.0621401	8.31939	0.122455	0.190385	7.85684	0.858981	0.537214
10 20 	226	7.16004	0.00292857	0.0437267	7.41637	0.0115606	0.0452921	6.41691	0.0605619	0.127554	5.84192	0.395955	0.300491
20 30 	160	5.09305	0.00259107	0.0337094	5.30389	0.00873274	0.0351049	4.577	0.0401333	0.0882038	4.1352	0.232924	0.301734
30 40 	110	3.42028	0.00193935	0.0182532	3.58365	0.00548128	0.0191251	3.07529	0.0219921	0.0449957	3.07022	0.111903	0.0501842
40 50 	73	2.09714	0.00160735	0.0111075	2.22251	0.00368307	0.0117715	1.89038	0.0127822	0.0271332	1.85032	0.0581147	0.0634076
50 60 	44	1.21377	0.00124657	0.00605987	1.30716	0.00230659	0.00652615	1.10107	0.00668523	0.0124376	1.08979	0.0246476	0.030672
60 70 	26	0.63051	0.000903894	0.00303539	0.691536	0.00134332	0.00332918	0.571577	0.00330702	0.00504428	0.586894	0.0103401	0.00877967
70 80 	14	0.30141	0.000708623	0.00153355	0.338274	0.000876569	0.00172111	0.275729	0.00176314	0.00154137	0.294396	0.00460415	0.00336776
