Centrality	Npart	C1  	Stat. Err.  	Sys. Err.	C2	Stat. Err.	Sys. Err.	C3	Stat. Err.	Sys. Err.	C4	Stat. Err.	Sys. Err.
0 5 	337	14.5381	0.00860523	0.160066	14.2843	0.046619	0.15727	13.3053	0.327137	0.409301	11.4407	2.82687	1.22983
5 10 	290	12.2961	0.00800605	0.106075	12.0811	0.040084	0.10422	10.9489	0.259899	0.186634	11.1683	2.08495	1.14506
10 20 	226	9.56386	0.00490082	0.0661344	9.53056	0.021862	0.0659	8.82507	0.130011	0.231946	8.52247	0.986818	0.747334
20 30 	160	6.67892	0.00409107	0.0419012	6.60816	0.015341	0.04145	6.14562	0.077801	0.086905	5.87563	0.499973	0.345293
30 40 	110	4.4712	0.00333184	0.0233169	4.40066	0.010314	0.02294	4.01994	0.045254	0.081451	3.6119	0.257689	0.259783
40 50 	72	2.79119	0.00263916	0.0104947	2.78294	0.006694	0.01046	2.62631	0.024986	0.028253	2.52082	0.11957	0.087463
50 60 	45	1.60313	0.00203181	0.00707024	1.59511	0.004103	0.00703	1.4881	0.013187	0.019666	1.46961	0.054435	0.051948
60 70 	26	0.820701	0.00144486	0.00219258	0.82801	0.002299	0.00221	0.77545	0.006144	0.002405	0.7501	0.020231	0.007106
70 80 	14	0.392441	0.0011902	0.000909	0.39975	0.001556	0.00093	0.37508	0.003492	0.003181	0.37146	0.009941	0.010418
